,ODS Code,LOC22NM,ICB22CD,ICB22CDH,ICB22NM,NHSER22NM,Status
0,02P,NHS South Yorkshire ICB - 02P,E54000061,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,21/22 Standards Met
1,99E,NHS Mid and South Essex ICB - 99E,E54000026,QH8,NHS Mid and South Essex Integrated Care Board,East of England,21/22 Standards Met
2,02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,QT1,NHS Nottingham and Nottinghamshire Integrated Care Board,Midlands,21/22 Standards Met
3,00Q,NHS Lancashire and South Cumbria ICB - 00Q,E54000048,QE1,NHS Lancashire and South Cumbria Integrated Care Board,North West,21/22 Standards Met
4,00R,NHS Lancashire and South Cumbria ICB - 00R,E54000048,QE1,NHS Lancashire and South Cumbria Integrated Care Board,North West,21/22 Standards Met
5,00T,NHS Greater Manchester ICB - 00T,E54000057,QOP,NHS Greater Manchester Integrated Care Board,North West,21/22 Standards Met
6,09D,NHS Sussex ICB - 09D,E54000053,QNX,NHS Sussex Integrated Care Board,South East,21/22 Standards Exceeded
7,00V,NHS Greater Manchester ICB - 00V,E54000057,QOP,NHS Greater Manchester Integrated Care Board,North West,21/22 Standards Exceeded
8,02T,NHS West Yorkshire ICB - 02T,E54000054,QWO,NHS West Yorkshire Integrated Care Board,North East and Yorkshire,21/22 Standards Met
9,04Y,NHS Staffordshire and Stoke-on-Trent ICB - 04Y,E54000010,QNC,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands,21/22 Standards Met
10,99F,NHS Mid and South Essex ICB - 99F,E54000026,QH8,NHS Mid and South Essex Integrated Care Board,East of England,21/22 Standards Met
11,00X,NHS Lancashire and South Cumbria ICB - 00X,E54000048,QE1,NHS Lancashire and South Cumbria Integrated Care Board,North West,21/22 Standards Met
12,02X,NHS South Yorkshire ICB - 02X,E54000061,QF7,NHS South Yorkshire Integrated Care Board,North East and Yorkshire,21/22 Standards Met
13,11J,NHS Dorset ICB - 11J,E54000041,QVV,NHS Dorset Integrated Care Board,South West,21/22 Standards Met
14,06K,NHS Hertfordshire and West Essex ICB - 06K,E54000025,QM7,NHS Hertfordshire and West Essex Integrated Care Board,East of England,21/22 Standards Met
15,01A,NHS Lancashire and South Cumbria ICB - 01A,E54000048,QE1,NHS Lancashire and South Cumbria Integrated Care Board,North West,21/22 Standards Met
16,03W,"NHS Leicester, Leicestershire and Rutland ICB - 03W",E54000015,QK1,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Midlands,21/22 Standards Met
17,02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,QOQ,NHS Humber and North Yorkshire Integrated Care Board,North East and Yorkshire,21/22 Standards Met
