"","Code","Name","Postcode","Start","Close","Sector","CCG20CD","CCG20NM","STP20CD","STP20CDH","STP20NM","NHSER20CD","NHSER20CDH","NHSER20NM","STPCDH","latitude","longitude","Successor.Code","Organisation.Name","Latest.Status","Date.Of.Publication","Primary.Sector","Commissioner..From.ODS.","Successor.Status","Final.Status","Short.Status"
"1","00L","NHS NORTHUMBERLAND CCG","NE61 6BL",2013-04-01,,"CCG","E38000130","NHS Northumberland CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS Northumberland CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"2","00N","NHS SOUTH TYNESIDE CCG","NE32 5NN",2013-04-01,,"CCG","E38000163","NHS South Tyneside CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS South Tyneside CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"3","00P","NHS SUNDERLAND CCG","SR5 3XB",2013-04-01,,"CCG","E38000176","NHS Sunderland CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS Sunderland CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"4","00Q","NHS BLACKBURN WITH DARWEN CCG","BB1 2FD",2013-04-01,,"CCG","E38000014","NHS Blackburn with Darwen CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Blackburn with Darwen CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"5","00R","NHS BLACKPOOL CCG","FY1 6JX",2013-04-01,,"CCG","E38000015","NHS Blackpool CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Blackpool CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"6","00T","NHS BOLTON CCG","BL1 1PP",2013-04-01,,"CCG","E38000016","NHS Bolton CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Bolton CCG","20/21 Standards Met","28/07/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"7","00V","NHS BURY CCG","BL9 0SN",2013-04-01,,"CCG","E38000024","NHS Bury CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Bury CCG","20/21 Standards Exceeded","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"8","00X","NHS CHORLEY AND SOUTH RIBBLE CCG","PR26 6TT",2013-04-01,,"CCG","E38000034","NHS Chorley and South Ribble CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Chorley and South Ribble CCG","20/21 Standards Met","24/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"9","00Y","NHS OLDHAM CCG","OL1 1UT",2013-04-01,,"CCG","E38000135","NHS Oldham CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Oldham CCG","20/21 Standards Exceeded","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"10","01A","NHS EAST LANCASHIRE CCG","BB9 8AS",2013-04-01,,"CCG","E38000050","NHS East Lancashire CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS East Lancashire CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"11","01D","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","OL16 1XU",2013-04-01,,"CCG","E38000080","NHS Heywood, Middleton and Rochdale CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Heywood, Middleton and Rochdale CCG","20/21 Standards Exceeded","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"12","01E","NHS GREATER PRESTON CCG","PR26 6TT",2013-04-01,,"CCG","E38000227","NHS Greater Preston CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Greater Preston CCG","20/21 Standards Met","24/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"13","01F","NHS HALTON CCG","WA7 5TD",2013-04-01,,"CCG","E38000068","NHS Halton CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Halton CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"14","01G","NHS SALFORD CCG","M27 5AW",2013-04-01,,"CCG","E38000143","NHS Salford CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Salford CCG","20/21 Standards Exceeded","17/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"15","01H","NHS NORTH CUMBRIA CCG","CA1 2SE",2013-04-01,,"CCG","E38000215","NHS North Cumbria CCG","E54000050","QHM","Cumbria and North East","E40000009","Y63","North East and Yorkshire",,,,,"NHS Cumbria CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"16","01J","NHS KNOWSLEY CCG","L36 6GA",2013-04-01,,"CCG","E38000091","NHS Knowsley CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Knowsley CCG","20/21 Standards Met","03/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"17","01K","NHS MORECAMBE BAY CCG","LA1 1QD",2013-04-01,,"CCG","E38000228","NHS Morecambe Bay CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS Morecambe Bay CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"18","01T","NHS SOUTH SEFTON CCG","L20 3DL",2013-04-01,,"CCG","E38000161","NHS South Sefton CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS South Sefton CCG","20/21 Approaching Standards","26/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Approaching Standards","Approaching Standards"
"19","01V","NHS SOUTHPORT AND FORMBY CCG","PR8 6PL",2013-04-01,,"CCG","E38000170","NHS Southport and Formby CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Southport and Formby CCG","20/21 Approaching Standards","26/08/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Approaching Standards","Approaching Standards"
"20","01W","NHS STOCKPORT CCG","SK1 3XE",2013-04-01,,"CCG","E38000174","NHS Stockport CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Stockport CCG","20/21 Standards Exceeded","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Exceeded","Standards Exceeded"
"21","01X","NHS ST HELENS CCG","WA10 1FY",2013-04-01,,"CCG","E38000172","NHS St Helens CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS St Helen's CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"22","01Y","NHS TAMESIDE AND GLOSSOP CCG","OL6 6BH",2013-04-01,,"CCG","E38000182","NHS Tameside and Glossop CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Tameside and Glossop CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"23","02A","NHS TRAFFORD CCG","M32 0TH",2013-04-01,,"CCG","E38000187","NHS Trafford CCG","E54000007","QOP","Greater Manchester Health and Social Care Partnership","E40000010","Y62","North West",,,,,"NHS Trafford CCG","20/21 Approaching Standards","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Approaching Standards","Approaching Standards"
"24","02E","NHS WARRINGTON CCG","WA3 7QH",2013-04-01,,"CCG","E38000194","NHS Warrington CCG","E54000008","QYG","Cheshire and Merseyside","E40000010","Y62","North West",,,,,"NHS Warrington CCG","20/21 Standards Met","30/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
"25","02G","NHS WEST LANCASHIRE CCG","L39 2JW",2013-04-01,,"CCG","E38000200","NHS West Lancashire CCG","E54000048","QE1","Healthier Lancashire and South Cumbria","E40000010","Y62","North West",,,,,"NHS West Lancashire CCG","20/21 Standards Met","29/06/2021","CCG / Integrated Care Board (ICB)","",,"20/21 Standards Met","Standards Met"
