,Code,National Grouping,High Level Health Geography,lat,long,Organisation Name,Status,Date Of Publication,Primary Sector,"Integrated Care Board (where available, from ODS)"
0,R0A,Y62,QOP,53.46244,-2.22771,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
1,R0B,Y63,QHM,54.9027696,-1.4087054,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST (R0B),22/23 Standards Exceeded,15/06/2023,NHS Trust,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
2,R0D,Y58,QVV,50.7213892,-1.972792,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS DORSET INTEGRATED CARE BOARD
3,R1A,Y60,QGH,52.1921622,-2.179037866666667,Herefordshire and Worcestershire Health and Care NHS Trust,22/23 Standards Exceeded,05/06/2023,NHS Trust,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
4,R1C,Y59,QRL,50.9016066,-1.3297985,Solent NHS Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
5,R1D,Y60,QOC,52.70584,-2.78937,Shropshire Community Health NHS Trust,22/23 Standards Met,27/06/2023,NHS Trust,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD"
6,R1F,Y59,QRL,50.711856475,-1.301087275,ISLE OF WIGHT NHS TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
7,R1H,Y56,QMF,51.51717,-0.05605,Barts Health NHS Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
8,R1K,Y56,QRV,51.57518,-0.3215279,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
9,R1L,Y61,QH8,51.6310333,0.5396917,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
10,RA2,Y59,QXU,51.2413044,-0.608939075,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD
11,RA4,Y58,QSL,50.9446928,-2.6344361,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,Not Published,28/06/2022,NHS Trust,NHS SOMERSET INTEGRATED CARE BOARD
12,RA7,Y58,QUY,51.45914555,-2.59328625,University Hospitals Bristol and Weston NHS Foundation Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,"BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE ICB"
13,RA9,Y58,QJK,50.48228603333333,-3.553696333333334,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS DEVON INTEGRATED CARE BOARD
14,RAE,Y63,QWO,53.80643576666666,-1.796465166666667,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
15,RAJ,Y61,QH8,51.5542562,0.6883159,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
16,RAL,Y56,QMJ,51.553116,-0.1652263,ROYAL FREE LONDON NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
17,RAN,Y56,QRV,51.63257,-0.31044,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,22/23 Standards Met,08/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
18,RAP,Y56,QMJ,51.6134549,-0.0750372,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
19,RAS,Y56,QRV,51.5254692,-0.4615325,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS NORTH WEST LONDON INTEGRATED CARE BOARD
20,RAT,Y56,QMF,51.51858,0.17113,NORTH EAST LONDON NHS FOUNDATION TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
21,RAX,Y56,QWE,51.4149843,-0.2825102,KINGSTON HOSPITAL NHS FOUNDATION TRUST,22/23 Approaching Standards,23/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
22,RBD,Y58,QVV,50.71294,-2.44694,DORSET COUNTY HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS DORSET INTEGRATED CARE BOARD
23,RBK,Y60,QUA,52.582892875,-1.9983942625,WALSALL HEALTHCARE NHS TRUST,22/23 Approaching Standards,27/07/2023,NHS Trust,NHS BLACK COUNTRY INTEGRATED CARE BOARD
24,RBL,Y62,QYG,53.3698806,-3.0956782,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
25,RBN,Y62,QYG,53.4200523,-2.7876834,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
26,RBQ,Y62,QYG,53.41071688,-2.89991586,LIVERPOOL HEART AND CHEST HOSPITAL NHS TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
27,RBS,Y62,QYG,53.42125,-2.8978,Alder Hey Children's NHS Foundation Trust,22/23 Standards Met,29/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
28,RBT,Y62,QYG,53.11924,-2.4762267,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,15/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
29,RBV,Y62,QOP,53.4296417,-2.2302095,THE CHRISTIE NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS GREATER MANCHESTER INTEGRATED CARE BOARD
30,RC9,Y61,QHG,51.8938451,-0.4742934,Bedfordshire Hospitals NHS Foundation Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
31,RCB,Y63,QOQ,53.9705116,-1.0839217,York and Scarborough Teaching Hospitals NHS Foundation Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
32,RCD,Y63,QOQ,53.9938316,-1.5180971,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
33,RCF,Y63,QWO,53.89763915,-1.964989,AIREDALE NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
34,RCU,Y63,QF7,53.3805265,-1.4907278,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,22/23 Standards Met,28/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
35,RCX,Y61,QMM,52.7556864,0.4436087,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
36,RD1,Y58,QOX,51.39222078,-2.39161986,ROYAL UNITED HOSPITAL BATH NHS TRUST,22/23 Standards Met,21/06/2023,NHS Trust,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD"
37,RD8,Y61,QHG,52.0262824,-0.7359102,Milton Keynes University Hospital NHS Foundation Trust,22/23 Standards Met,30/06/2023,NHS Trust,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
38,RDE,Y61,QJG,51.9098515,0.8989391,East Suffolk and North Essex Foundation Trust,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
39,RDR,Y59,QNX,50.8304868,-0.1138012,Sussex Community NHS Foundation Trust,22/23 Standards Met,30/06/2023,NHS Trust,NHS SUSSEX INTEGRATED CARE BOARD
40,RDU,Y59,QNQ,51.31974986666667,-0.7415174,FRIMLEY HEALTH NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS FRIMLEY INTEGRATED CARE BOARD
41,RDY,Y58,QVV,50.73927275,-1.9801659,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS DORSET INTEGRATED CARE BOARD
42,REF,Y58,QT6,50.2663955,-5.0931487,ROYAL CORNWALL HOSPITALS NHS TRUST,22/23 Standards Met,27/06/2023,NHS Trust,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
43,REM,Y62,QYG,53.41079556666667,-2.9629939,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
44,REN,Y62,QYG,53.3316004,-3.0253121,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,22/23 Standards Exceeded,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
45,REP,Y62,QYG,53.39846,-2.96008,LIVERPOOL WOMENS HOSPITAL NHS TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
46,RET,Y62,QYG,53.4664,-2.931,THE WALTON CENTRE NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD
47,RF4,Y56,QMF,51.56820595,0.18083295,"BARKING, HAVERING AND REDBRIDGE HOSPITALS NHS TRUST",22/23 Approaching Standards,29/06/2023,NHS Trust,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
48,RFF,Y63,QF7,53.55913,-1.49949,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
49,RFR,Y63,QF7,53.41397,-1.34288,THE ROTHERHAM NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
50,RFS,Y60,QJ2,53.23621,-1.40005,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,30/06/2023,NHS Trust,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
51,RGD,Y63,QWO,53.82104,-1.53496,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,26/06/2023,NHS Trust,NHS WEST YORKSHIRE INTEGRATED CARE BOARD
52,RGM,Y61,QUE,52.1735144,0.1359492,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,22/23 Standards Met,16/06/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
53,RGN,Y61,QUE,52.5846459,-0.2788728888888889,NORTH WEST ANGLIA NHS FOUNDATION TRUST,22/23 Approaching Standards,12/07/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
54,RGP,Y61,QMM,52.5616405,1.7176868,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Exceeded,29/06/2023,NHS Trust,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
55,RGR,Y61,QJG,52.231652966666665,0.7091504333333333,WEST SUFFOLK NHS FOUNDATION TRUST,22/23 Approaching Standards,20/07/2023,NHS Trust,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
56,RGT,Y61,QUE,52.17374,0.13911,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD
57,RH5,Y58,QSL,51.01131495,-3.1194584,SOMERSET NHS FOUNDATION TRUST,22/23 Standards Exceeded,29/06/2023,NHS Trust,NHS SOMERSET INTEGRATED CARE BOARD
58,RH8,Y58,QJK,50.717541133333334,-3.5083626,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,22/23 Approaching Standards,26/06/2023,NHS Trust,NHS DEVON INTEGRATED CARE BOARD
59,RHA,Y60,QT1,52.9794709,-1.1265417,Nottinghamshire Healthcare NHS Foundation Trust,22/23 Standards Met,28/06/2023,NHS Trust,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD
60,RHM,Y59,QRL,50.93284145,-1.4341999833333334,University Hospitals Southampton NHS Foundation Trust,22/23 Approaching Standards,15/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
61,RHQ,Y63,QF7,53.40992015,-1.45673255,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,22/23 Standards Met,21/06/2023,NHS Trust,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
62,RHU,Y59,QRL,50.84952205,-1.071349575,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD
63,RHW,Y59,QU9,51.45009923333333,-0.9579968333333334,ROYAL BERKSHIRE NHS FOUNDATION TRUST,22/23 Approaching Standards,14/07/2023,NHS Trust,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD"
64,RJ1,Y56,QKK,51.49869091,-0.11902803999999999,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
65,RJ2,Y56,QKK,51.4537118,-0.01769825,Lewisham and Greenwich NHS Trust,22/23 Standards Met,29/06/2023,NHS Trust,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
66,RJ6,Y56,QWE,51.3900178,-0.1102686,Croydon Health Services NHS Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
67,RJ7,Y56,QWE,51.42662115,-0.17463486666666667,St George's University Hospitals NHS Foundation Trust,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD
68,RJ8,Y58,QT6,50.47176,-4.74082,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,22/23 Standards Met,29/06/2023,NHS Trust,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD
69,RJC,Y60,QWU,52.289886,-1.5847948,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,22/23 Standards Exceeded,28/06/2023,NHS Trust,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD
70,RJE,Y60,QNC,53.00167625,-2.2129189,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,22/23 Approaching Standards,29/06/2023,NHS Trust,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD
71,RJL,Y63,QOQ,53.54486,-0.09623,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,22/23 Approaching Standards,30/06/2023,NHS Trust,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD
