"00L","NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L","Y63","QHM","THE RIVERGREEN CENTRE","ST. MARY LANE","ST. MARY PARK","MORPETH","","NE61 6BL","20130401","","","C","","","","","","","","0","","","","",""
"00N","NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N","Y63","QHM","MONKTON HALL","MONKTON LANE","MONKTON VILLAGE","JARROW","","NE32 5NN","20130401","","","C","","","","","","","","0","","","","",""
"00P","NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P","Y63","QHM","PEMBERTON HOUSE","COLIMA AVENUE","SUNDERLAND ENTERPRISE PARK","SUNDERLAND","","SR5 3XB","20130401","","","C","","","","","","","","0","","","","",""
"00Q","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q","Y62","QE1","FUSION HOUSE","EVOLUTION PARK","HASLINGDEN ROAD","BLACKBURN","LANCASHIRE","BB1 2FD","20130401","","","C","","","","","","","","0","","","","",""
"00R","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R","Y62","QE1","THE STADIUM","SEASIDERS WAY","","BLACKPOOL","","FY1 6JX","20130401","","","C","","","","","","","","0","","","","",""
"00T","NHS GREATER MANCHESTER ICB - 00T","Y62","QOP","ST PETERS HOUSE","SILVERWELL STREET","","BOLTON","","BL1 1PP","20130401","","","C","","","","","","","","0","","","","",""
"00V","NHS GREATER MANCHESTER ICB - 00V","Y62","QOP","TOWNSIDE PRIMARY CARE CENTRE","1 KNOWSLEY PLACE","KNOWSLEY STREET","BURY","LANCASHIRE","BL9 0SN","20130401","","","C","","","","","","","","0","","","","",""
"00X","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X","Y62","QE1","CHORLEY HOUSE","LANCASHIRE ENTERPRISE BUSINESS PARK","CENTURION WAY","LEYLAND","LANCASHIRE","PR26 6TT","20130401","","","C","","","","","","","","0","","","","",""
"00Y","NHS GREATER MANCHESTER ICB - 00Y","Y62","QOP","CIVIC CENTRE","WEST STREET","","OLDHAM","","OL1 1UT","20130401","","","C","","","","","","","","0","","","","",""
"01A","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A","Y62","QE1","WALSHAW HOUSE","REGENT STREET","","NELSON","","BB9 8AS","20130401","","","C","","","","","","","","0","","","","",""
"01D","NHS GREATER MANCHESTER ICB - 01D","Y62","QOP","3RD FLOOR","NUMBER ONE RIVERSIDE","SMITH STREET","ROCHDALE","","OL16 1XU","20130401","","","C","","","","","","","","0","","","","",""
"01E","NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E","Y62","QE1","CHORLEY HOUSE","LANCASHIRE ENTERPRISE BUSINESS PARK","CENTURION WAY","LEYLAND","LANCASHIRE","PR26 6TT","20130401","","","C","","","","","","","","0","","","","",""
