"","Code","Name","Start","Close","Prac_Status","Prescribing_Setting","validedition","open_at"
"1","A81001","THE DENSHAM SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"2","A81002","QUEENS PARK MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"3","A81004","ACKLAM MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"4","A81005","SPRINGWOOD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"5","A81006","TENNANT STREET MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"6","A81007","BANKHOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"7","A81009","VILLAGE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"8","A81011","CHADWICK PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"9","A81012","WESTBOURNE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"10","A81013","BROTTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"11","A81014","QUEENSTREE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"12","A81015","LAGAN SURGERY",1974-04-01,2019-04-30,"C",4,"18/19","2019-03-31"
"13","A81016","PARK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"14","A81017","WOODBRIDGE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"15","A81018","BENTLEY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"16","A81019","CROSSFELL HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"17","A81020","MARTONSIDE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"18","A81021","NORMANBY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"19","A81022","HILLSIDE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"20","A81023","THE ENDEAVOUR PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"21","A81025","THE DOVECOT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"22","A81026","LINTHORPE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"23","A81027","YARM MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"24","A81029","PROSPECT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"25","A81030","BOROUGH ROAD & NUNTHORPE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"26","A81031","HAVELOCK GRANGE PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"27","A81032","THE GARTH",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"28","A81033","OAKFIELD MEDICAL PRACTICE",1974-04-01,2019-04-30,"C",4,"18/19","2019-03-31"
"29","A81034","THORNABY & BARWICK MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"30","A81035","NEWLANDS MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"31","A81036","NORTON MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"32","A81037","THE ERIMUS PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"33","A81038","HIRSEL MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"34","A81039","EAGLESCLIFFE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"35","A81040","MARSH HOUSE MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"36","A81041","HART MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"37","A81042","SOUTH GRANGE MEDICAL GROUP PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"38","A81043","THE MANOR HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"39","A81044","MCKENZIE HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"40","A81045","THE COATHAM ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"41","A81046","WOODLANDS FAMILY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"42","A81048","ZETLAND MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"43","A81049","KINGS MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"44","A81051","CAMBRIDGE MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"45","A81052","THE GREEN HOUSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"46","A81053","WOODSIDE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"47","A81054","THE SALTSCAR SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"48","A81056","MELROSE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"49","A81057","KINGSWAY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"50","A81058","COULBY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"51","A81060","THE KOH PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"52","A81063","THE HEADLAND MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"53","A81064","THE DISCOVERY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"54","A81065","THE ESTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"55","A81066","PARK LANE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"56","A81067","ALMA MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"57","A81070","MCKENZIE GROUP PRACTICE",1987-10-01,NA,"A",4,"18/19","2019-03-31"
"58","A81602","DR RASOOL",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"59","A81608","ELM TREE SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"60","A81610","THE ROSEBERRY PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"61","A81611","PARKWAY MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"62","A81612","THE PATEL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"63","A81618","HUNTCLIFF SURGERY",1988-10-01,NA,"A",4,"18/19","2019-03-31"
"64","A81621","THORNTREE SURGERY",1988-10-17,NA,"A",4,"18/19","2019-03-31"
"65","A81622","GLADSTONE HOUSE SURGERY",1989-01-09,NA,"A",4,"18/19","2019-03-31"
"66","A81629","RIVERSIDE MEDICAL PRACTICE",1998-02-01,NA,"A",4,"18/19","2019-03-31"
"67","A81630","FOUNDATIONS",2001-04-01,NA,"A",4,"18/19","2019-03-31"
"68","A81631","WEST VIEW MILLENIUM SURGERY A",2002-02-01,NA,"A",4,"18/19","2019-03-31"
"69","A81632","LAWSON STREET PRACTICE",2002-03-04,2020-06-30,"C",4,"18/19","2019-03-31"
"70","A81633","FOUNDATIONS -HARRIS STREET",2002-10-01,NA,"A",4,"18/19","2019-03-31"
"71","A81634","THE ARRIVAL PRACTICE",2003-04-01,NA,"A",4,"18/19","2019-03-31"
"72","A82003","ULVERSTON HEALTH CENTRE (MURRAY)",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"73","A82004","ALSTON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"74","A82005","AMBLESIDE HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"75","A82006","APPLEBY MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"76","A82007","DUKE STREET SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"77","A82008","NORWOOD MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"78","A82009","BRIDGEGATE MEDICAL CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"79","A82010","ABBEY ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"80","A82012","BRAMPTON MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"81","A82013","UPPER EDEN MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"82","A82014","CALDBECK SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"83","A82015","WARWICK ROAD SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"84","A82016","CARLISLE HEALTHCARE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"85","A82018","SPENCER ST SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"86","A82019","FUSEHILL MEDICAL PRACTICE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"87","A82020","EDEN MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"88","A82021","CASTLEGATE AND DERWENT SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"89","A82022","DALSTON MEDICAL GROUP",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"90","A82023","DISTINGTON SURGERY",1974-04-01,NA,"A",4,"18/19","2019-03-31"
"91","A82024","SEASCALE HEALTH CENTRE",1974-04-01,NA,"A",4,"18/19","2019-03-31"
